name,price,product_link,shipping_price,total_price
New Balance Men's 327 Sneakers Shoes Size 11 $100 MS327HN1 Black Madras Orange,62.97,https://www.ebay.com/p/6051588449?iid=393755134155,48.28,111.25
New Balance X-Racer Leather Tactical Utility 'White Tan' Men's Shoes | MSXRCTUC,104.99,https://www.ebay.com/itm/384510860089?hash=item5986a21b39:g:acAAAOSwCh5hmL0e&var=652606825601,53.05,158.04
New Balance 327 Classic Multicolor MS327FF Men's Size 11,69.99,https://www.ebay.com/p/21045634388?iid=134011410860,35.03,105.02
NEW BALANCE MSXRCLG XRC Black Black Black Mens,69.99,https://www.ebay.com/itm/265287738059?hash=item3dc461a2cb:g:-JQAAOSwAUdhKWIh&var=565148911976,22.00,91.99
Air Balance Men's Comfort River Sandal Hook & Loop Many Colors  FAST SHIPPING,13.88,https://www.ebay.com/itm/313126759061?hash=item48e7cf2a95:g:97sAAOSw7axgIvJ8&var=611856807604,50.47,64.35
New Balance 373 Navy/Orange Suede Running and Jogging Shoes For Men,68.39,https://www.ebay.com/itm/304354069622?hash=item46dcea8c76:g:hCYAAOSwBKdiBtup&var=603409380543,65.00,133.39
New Balance Men's 574 Sneakers ML574EGK Black,67.95,https://www.ebay.com/p/28043990471?iid=353483941079&var=622764310119,53.64,121.59
New Balance Men's Dynasoft Nitrel V4 MTNTRCK4 Grey/Black Running Shoes-Sz 11/12,64.99,https://www.ebay.com/p/16045629535?iid=284352783956&var=585870674312,53.59,118.58
New Balance Mens 200 SMF200BW Black Leather Comfort Slide Sandals Size US 11 D,34.99,https://www.ebay.com/itm/393911876178?_trkparms=ispr%3D1&hash=item5bb6fa3a52:g:P20AAOSwjHZh-9v1&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS756jE49efRUdZ161WGGuaYWlYi8JfNclNqO%252B%252FLRkqX2nu%252FIoN7WtyxKc5ZnHCzOr4kuouJSgFdLV4x15mY5YOGkpqDfKaI7TUlVBBR5WjMXTu6HvYMjVn4%252FX4eCRLV47VmSWiux2R8cdLNJWdbrG%252B398%252BqWI4fk6MUChl0uvHvH3ptUXIpL41Rs%252Bs%252BDy3hvCzGzvsohtUN3pG5o%252FcIwAvehQfsBHOTJSHa1%252BYRYgR0KLTGkbvpgIA7xAMGAkt20PrkBLHqZUZGtUNvHvA9phy%252FJhcGVj51xY0HkJJYfGj6A7ErlguSJojxvX8I6tf3tvFVrNt8yWfVvFovUmZFlia8wJw7g1NO%252BI962YhZa%252FnOvLkw4%252FgJ%252FDPrHK84A21C%252Fbp%252BEpRBLrbFCY1ArpJZuCnToNzq%252BHiSKnb3wNXbxHtBy8iODR4c7NpS9HTjELlXQk7Gorgcm3GirjZIsq1lCTAuCIshxPTErwJuU3cYx1cOgIGBmfMmCMPYNQ66IkOoLdqszdg4SxhyXoIIFngjXnmgVkI7LjOlXYHj6g4d666kdIQm5TLg%252Ffcb6tIlitpRbo%252BnnE6o2REXZQz%252BBatwlltrdwURq1twZywHQ%252FcEo5CxzdvomEHgMilXJdjEd%252FyHDCtAzMDx0g%252B5QJ1qTZS%252BFpNHNpvgDZlsoxULi32CBsaQQYBti8%252FoFV%252FpUZ7Ni8mi1AV2wDPG99b8KCIa9kgPQPbovQXJm0CK%252Fc9FrHvuQV1rMl1IxVciU1kdaeo9%252Fs0NIo%252B8Ukrh6jdDpe4KOQ%252Bpxvh43MVwTG9k0bFU0gTQEruVZcTciuvguWASyRPBCeqeRa%7Cclp%3A2499334%7Ctkp%3ABFBM8Jyf9-Ff,22.00,56.99
NEW Men's (SELECT SZ) NEW BALANCE MS850TRC Fresh Foam 850 All terrain Running,78.30,https://www.ebay.com/itm/203464422582?_trkparms=ispr%3D1&hash=item2f5f6cb4b6:g:mw0AAOSwkv1gqWxD&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDbb8Xz6YxVYplPlqqf7B33Y5InOaIopJrLt9C0wYu6N3YXvk%252Fogioc1LLFds5HFtx2CvBNZSu3B5wxsc80fKDg8cq11O0ozrObMYYWHZu3H6fMUfxB9Sdr5b2CcGmF9%252BEWtcg66i6lHSs98S5%252BUQZYI%252F6AxyApIVw0yg0WSEXym60TvB3S5n8x13fEwi1iodsfAHHI0mBzSjTg1DfDP6LG9jWU6XQu06Ou0deX8TrJEAKhSbc811aeUWDfB%252FmvBQMVkuY%252FaV84j23fp6uYenWTacvY17DWhBFmQ9OvSPt8HF5wPP5SGHKLq6H1oB4vh77u6bySqZrzIHA2BAOlT%252BDd4tsFodAi8EGb2vimhkJyVrZhqlsskdOf%252FAcjwAhC5%252BHbIr6Ii%252Fi0XgqWGZpRaNSFXfu55qJjLNbv9QktJu%252FPUBVrdPGPEf5mRSAKjd%252BkZgOg6lgE0oM%252FyWh0mEiaXG%252BCpg57gUm%252FVwooTeAyNdKAKQekd6W98i4vdz2JYHG%252B7dOo6GBwtm41kSplKN3yc6Xu4bzFNeAcDAfBPV8KcJg2CYGEvpEWdp29t7QvhPHuf936RaMT%252BgiNBu3YGAKksiRXLECRHOE6HIrdYk7DvfyPxLoMzPDknhNr4SqChaUt3KKCHovBTlcbDJOUL1%252B3C7N%252BsbFQsxYisNKTfXVvfkdTiZPQyydZ79wiK2KpIo%252BXodzZ3WdTVy%252Fuppn15n4fBShGf7qBoute4%252F2dpeVXxuiObJ0zqs02XgAH8rLuFrFcI6JcziFaHxRZmHFOwLaeXxSEDmXsuYRe4zxQ%252BnhngyFwVwzQqkVILNlZUZTGTivkpo%7Cclp%3A2499334%7Ctkp%3ABFBM8Jyf9-Ff&var=503809037813,49.98,128.28
